mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7465582370758057,0.06604394709097496,0.010959482192993164,0.002558531501810239,relu,0.00031622776601683794,"(36, 36, 36)","{'MLP__activation': 'relu', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (36, 36, 36)}",0.3358750907770516,0.32964423990065017,0.3313609467455622,0.33333333333333337,0.3588627144505228,0.33777884231761707,0.010696649986367412,95,0.35024998853263606,0.3549128050107061,0.3369997595410669,0.3338989843472685,0.34397395918813944,0.34400709932396345,0.007863663010089679
0.8600382328033447,0.18461951672799434,0.005795192718505859,0.0016043065713097612,relu,0.0001,"(18,)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (18,)}",0.6549478270840501,0.5000941978000006,0.6297699651275901,0.642555874674633,0.5630626160379425,0.5981910661127118,0.05841405562073554,1,0.6130127058391818,0.6110011106912622,0.5872397986251857,0.6814977156401362,0.6563571656862491,0.629821699296403,0.03413068040032812
0.9169189453125,0.21832913812249038,0.004819059371948242,0.0009849979205979222,relu,0.0001,"(9,)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (9,)}",0.5418873982341476,0.5173170159674882,0.5016263538530746,0.5923157664048352,0.45653926786002247,0.5220618470007027,0.04480275560535717,18,0.5463354891977432,0.5175002958026558,0.5391325921091302,0.5116992049587976,0.5344353073174759,0.5298205778771605,0.013121929276079565
0.6796233177185058,0.37153030852955804,0.004878187179565429,0.0022979059938038992,relu,0.0001,"(36,)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (36,)}",0.6910102052516913,0.361067857019274,0.4098911534808971,0.4069441080237302,0.5554769908906337,0.48493177202042786,0.12222641331149282,27,0.7096706573092979,0.4202826728346291,0.40962171611342035,0.4103940854736087,0.7074096628956823,0.5314757589253277,0.1446231255132953
1.3950374603271485,0.47755137439288015,0.009983062744140625,0.003170796583366382,relu,0.0001,"(18, 18)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (18, 18)}",0.4879448075526508,0.39239535393381547,0.5723804360781419,0.3956461392358828,0.4284172528004167,0.4554283174403403,0.06786626973754956,38,0.45666253841566895,0.4280947637204722,0.6514803491616381,0.38671521647029194,0.47550695698160006,0.4796919649499342,0.09095720384974505
0.7185153007507324,0.08665793794802368,0.004440736770629883,0.00048835084743256,relu,0.0001,"(9, 9)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (9, 9)}",0.3355846042120552,0.3163488932719702,0.33707048686805774,0.34178229927217785,0.3588854568535264,0.3378977459769475,0.013587541659221412,87,0.34010565264590303,0.3596691590425918,0.34742575353341043,0.35159019690914856,0.34151715658751347,0.34806158374371343,0.007123448065124934
0.38360118865966797,0.055394521629900495,0.0063380241394042965,0.0028858465723118998,relu,0.0001,"(36, 36)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (36, 36)}",0.3810457516339869,0.3790269559500329,0.3659622978111508,0.35210753159471114,0.3522012578616351,0.3661040873366235,0.012485475389186077,67,0.3646320505175603,0.36782140389848816,0.36788155679983514,0.3733840205496968,0.34445061104536606,0.3636339285621893,0.009996374417670309
0.3490139484405518,0.0535990079304546,0.010026645660400391,0.003013495443796603,relu,0.0001,"(18, 18, 18)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (18, 18, 18)}",0.3333333333333333,0.3333333333333333,0.3333333333333334,0.33333333333333337,0.3333333333333332,0.3333333333333333,7.436985772292056e-17,105,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.33333333333333337,4.2998752849492583e-17
0.14840364456176758,0.01012724455856499,0.004721355438232422,0.0011779226909236142,relu,0.0001,"(9, 9, 9)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (9, 9, 9)}",0.3333333333333333,0.3333333333333333,0.3333333333333334,0.33333333333333337,0.3333333333333332,0.3333333333333333,7.436985772292056e-17,105,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.33333333333333337,4.2998752849492583e-17
0.675063943862915,0.07321066225832586,0.010148239135742188,0.004184659310933993,relu,0.0001,"(36, 36, 36)","{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (36, 36, 36)}",0.3358750907770516,0.32964423990065017,0.3313609467455622,0.33333333333333337,0.3588627144505228,0.33777884231761707,0.010696649986367412,95,0.35024998853263606,0.3549128050107061,0.3369997595410669,0.3338989843472685,0.34397395918813944,0.34400709932396345,0.007863663010089679
